# Country|Year|IPs|ASNs|Cumulative IPs|Cumulative ASNs|GDP 
LU|1997|24576|1|742912|3|18514433919.7113
LU|1996|81920|1|718336|2|20579153094.4625
LU|1991|197376|0|197632|0|13714989140.5236
LU|1990|0|0|256|0|12668658431.6083
LU|1993|1536|1|603392|1|15788267747.294
LU|1992|404224|0|601856|0|15384954868.2902
AU|2005|1683104|87|25125702|598|693662607126.748
AU|2004|1489716|63|23442598|511|613161189358.372
AU|1968|0|0|0|0|32709149960.8019
AU|1969|0|0|0|0|36681599283.2344
AU|1964|0|0|0|0|23803337439.8029
AU|1965|0|0|0|0|25978273042.8939
AU|1966|0|0|0|0|27305409340.3517
AU|1967|0|0|0|0|30440138873.3341
AU|1961|0|0|0|0|19689774890.8052
AU|1962|0|0|0|0|19923843655.5045
AU|1963|0|0|0|0|21542165976.0332
AU|2006|3809100|81|28934802|679|747463312368.973
AU|2011|1352223|131|47684065|1287|1386889147177.31
AU|2010|8987573|158|46331842|1156|1141793593834.25
AU|2012|114113|129|47798178|1416|1532407884934.19
AU|1982|0|0|0|0|194047224980.691
AU|1983|0|0|0|0|177255966307.908
AU|1980|0|0|0|0|149957660167.131
AU|1981|0|0|0|0|176884941367.7
AU|1986|65536|0|65792|0|182504896474.538
AU|1987|327680|0|393472|0|189718766543.145
AU|1984|0|0|0|0|193593551892.773
AU|1985|256|0|256|0|180551507248.6
AU|1988|856320|0|1249792|0|236924476135.041
AU|1989|1517312|0|2767104|0|300881035746.275
AU|1995|796416|3|16842752|3|368222453222.453
AU|2003|763456|60|21952882|448|466663366336.634
AU|2007|2709044|84|31643846|763|853854910889.534
AU|2000|960000|58|19807232|243|415208189411.543
AU|2001|846883|69|20654115|312|378642266824.085
AU|1979|0|0|0|0|134858570941.724
AU|1978|0|0|0|0|118458154748.477
AU|1977|0|0|0|0|110320027529.25
AU|1976|0|0|0|0|105025841421.908
AU|1975|0|0|0|0|97278437798.7164
AU|1974|0|0|0|0|88959469417.8335
AU|1973|0|0|0|0|63818065342.729
AU|1972|0|0|0|0|52035046728.972
AU|1971|0|0|0|0|45212229812.969
AU|1970|0|0|0|0|41330496136.1855
