Country Name,Country Code,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Finland,FIN,130322821223.098,121793808734.107,124642505592.841,135183512140.034,164256207674.944,189064585622.668,195777993334.328,207949409201.133,246127357186.459,271974219064.709,239382754295.034,235163157894.737,262054166666.667,247545641553.098,
Fiji,FJI,1942170999.18765,1684109743.49338,1660102345.60309,1842691481.09196,2315935752.71653,2727507212.92556,3006725014.78415,3103099942.22992,3405050611.68726,3629936625.46276,2925499821.03595,3225095136.31862,3753485389.24827,3907563304.51103,
France,FRA,1456431067547.41,1326334899576.19,1338302818791.95,1452030303030.3,1792214221218.96,2055678853687.46,2136555489230.46,2255705477450.04,2582389733356.33,2831794045482.84,2619685000757.11,2548315434210.53,2779719500000,2612878387760.35,
Faeroe Islands,FRO,1125684470.05533,1062339943.83343,1154899793.33878,1268445919.41429,1486861878.95624,1683997930.26322,1730894295.38595,1970135198.76236,2278229880.41222,2412859692.82674,2198138372.28824,,,,
"Micronesia, Fed. Sts.",FSM,220660503.948872,233226322.838293,240051900.024223,241543395.823377,244990983.604501,239563310.439243,249845592.623945,252991205.003248,255890836.379155,261339642.362797,277510922.800969,294117230.497109,310287519.271915,326160960.784002,
Gabon,GAB,4662991794.05396,5067865502.79988,4712849279.64923,4931503836.34766,6054883172.03912,7178135606.41428,8665736617.5506,9545982814.08494,11570860872.2274,15685389826.8882,12031268402.3877,14507032805.9824,18759558560.4601,18377083881.0055,
United Kingdom,GBR,1518173434719.3,1493628385534.88,1485147545703.18,1620900779376.5,1875141224489.8,2220820974770.22,2321359350397.64,2483008793218.61,2857080828857.96,2687796663762.07,2208002878867.89,2285561538461.54,2478930645161.29,2471783570300.16,
Georgia,GEO,2800024342.13492,3057453460.84975,3219487823.04872,3395778661.40362,3991374539.82055,5125273877.24618,6411147323.20169,7761900179.11307,10172260738.4907,12799337249.9695,10766836276.5639,11638236642.8476,14434619972.4072,15747288816.1881,
Ghana,GHA,7718110780.94815,4982849054.0291,5314871683.5223,6166197191.76694,7632720680.28119,8881419348.21594,10731883141.4457,20410239313.1135,24757608488.0145,28528016511.3477,25978563316.2976,32174210792.9631,39564970069.7821,40710781538.5757,
Guinea,GIN,3461282189.69643,2995360969.17427,2833442750.41891,2949637039.06356,3446442218.89829,3666349049.40435,2937072009.03751,2821346683.52022,4134173271.02524,4515824643.35277,4609923720.1802,4735956475.83803,5067360041.10885,5631621297.8898,
